districts,google_maps_link,address,polling_station,diplomatic entity,kalam,country,lat,long
0,https://goo.gl/maps/ETJibNU6JbC2,"Paseo de la Castellana,178 Bis 2 28046 Madrid",مدريد - مبنى السفارة,سفارة لبنان في مدريد,1,مملكة إسبانيا - أوروبا,40.461193,-3.689121
1 - 2 -3 -4 – 5 - 6 - 7 – 8,https://goo.gl/maps/4EBv5JpT5FE2,"Thunstrasse 20, 3074 Muri Bei Bern",برن - مبنى السفارة,سفارة لبنان في برن,1,الاتحاد السويسري - أوروبا,46.935539,7.478675
9 -10 – 11 - 12 - 13 - 14 -15 - 16 - 17 - 18 - 19 - 20 - 21 - 23 - 24 - 25 - 26,https://goo.gl/maps/4EBv5JpT5FE3,"Thunstrasse 20, 3074 Muri Bei Bern",برن - مبنى السفارة,سفارة لبنان في برن,2,الاتحاد السويسري - أوروبا,46.935539,7.478675
0,https://goo.gl/maps/qGfFhrdg2KR2,"Frederikstraat 2, 2514 LK, La Haye",لاهاي - مبنى السفارة,سفارة لبنان في لاهاي,1,مملكة هولندا - أوروبا,52.0865931,4.3024503
0,https://goo.gl/maps/w6bQfyegr8C2,"11 Aleksandr Puskin Str., Bucharest",بوخارست - مبنى السفارة,سفارة لبنان في بوخارست,1,جمهورية رومانيا - أوروبا,44.4695881,26.0827253
12 - 14 - 15 - 18 - 20 - 24 - 25,https://goo.gl/maps/HKjWaLRu5vp,"15 Palace Gardens Mews, London, W 8-4RB",لندن - مبنى السفارة,سفارة لبنان في لندن,1,المملكة المتحدة لبريطانيا العظمى وآيرلندا الشمالية - أوروبا,51.507797,-0.192655
1 - 2 - 16 - 21 - 23,https://goo.gl/maps/HKjWaLRu5vp,"15 Palace Gardens Mews, London, W 8-4RB",لندن - مبنى السفارة,سفارة لبنان في لندن,2,المملكة المتحدة لبريطانيا العظمى وآيرلندا الشمالية - أوروبا,51.507797,-0.192655
19 - 26 - 10 - 17 - 13 - 11 - 9 - 8 - 4,https://goo.gl/maps/HKjWaLRu5vp,"15 Palace Gardens Mews, London, W 8-4RB",لندن - مبنى السفارة,سفارة لبنان في لندن,3,المملكة المتحدة لبريطانيا العظمى وآيرلندا الشمالية - أوروبا,51.507797,-0.192655
6 - 5 - 3 - 7,https://goo.gl/maps/HKjWaLRu5vp,"15 Palace Gardens Mews, London, W 8-4RB",لندن - مبنى السفارة,سفارة لبنان في لندن,4,المملكة المتحدة لبريطانيا العظمى وآيرلندا الشمالية - أوروبا,51.507797,-0.192655
0,https://goo.gl/maps/4vrmxGFNoXF2,"Paritsi 2, Neo Psichiko 154 51, Greece",اثينا - مبنى السفارة,سفارة لبنان في اثينا,1,المملكة الهيلانية - أوروبا,38.00653,23.777201
1 - 2 - 25 - 15 – 18 – 20 – 14 – 12 – 24 – 8 – 6,https://goo.gl/maps/u2rHN8X3edv,"101 Ave. Franklin Roosevelt, 1050 Bruxelles",بروكسل - مبنى السفارة,سفارة لبنان في بروكسل,1,مملكة بلجيكا - أوروبا,50.802691,4.387898
16 – 21 – 23 – 10 – 19 – 26,https://goo.gl/maps/u2rHN8X3edv,"101 Ave. Franklin Roosevelt, 1050 Bruxelles",بروكسل - مبنى السفارة,سفارة لبنان في بروكسل,2,مملكة بلجيكا - أوروبا,50.802691,4.387898
17 – 13 – 11 – 9 – 4 – 5 – 3 – 7,https://goo.gl/maps/u2rHN8X3edv,"101 Ave. Franklin Roosevelt, 1050 Bruxelles",بروكسل - مبنى السفارة,سفارة لبنان في بروكسل,3,مملكة بلجيكا - أوروبا,50.802691,4.387898
0,https://goo.gl/maps/UZhb7UYgfXs,"Via Giacomo Carissimi, 38, 00198 Roma",روما - مبنى السفارة,سفارة لبنان في روما,1,الجمهورية الإيطالية - أوروبا,50.802691,4.387898
0,https://goo.gl/maps/wxyyQaDaPgQ2,"Via Larga, 26, 20122 Milano",ميلانو- مبنى القنصلية العامة,قنصلية لبنان العامة في ميلانو,2,الجمهورية الإيطالية - أوروبا,45.460905,9.190843
1 - 2 - 25 - 15 - 18 - 20 - 14 - 12 - 3 - 7 - 24 - 5,https://goo.gl/maps/SHGy2qcptjJ2,"Kommendörsgatan 35, 114 58 Stockholm, Sweden",ستوكهولم - مبنى السفارة,سفارة لبنان في ستوكهولم,1,مملكة السويد - أوروبا,59.337404,18.086731
16 - 21 - 23 - 19 - 26 - 27 - 17 - 6 - 8 - 13 – 11 – 9 – 4,https://goo.gl/maps/SHGy2qcptjJ3,"Kommendörsgatan 35, 114 58 Stockholm, Sweden",ستوكهولم - مبنى السفارة,سفارة لبنان في ستوكهولم,2,مملكة السويد - أوروبا,59.337404,18.086731
1 - 2 - 16 - 23- 3 - 7,https://goo.gl/maps/7iF3BhaieNq,"Östergatan 10, 211 25 Malmö, Sweden",Radisson Blu Hotel - مالمو,سفارة لبنان في ستوكهولم,3,مملكة السويد - أوروبا,55.60766,13.007781
